id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
150540,tt2096673,6.326804,175000000,853708609,Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,http://movies.disney.com/inside-out,Pete Docter,Meet the little voices inside your head.,dream|cartoon|imaginary friend|animation|kid,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",94,Comedy|Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,2015-06-09,3935,8,2015,160999929.160031,785411574.698907
264644,tt3170832,3.557846,6000000,35401758,Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,http://www.roomthemovie.com,Lenny Abrahamson,Love knows no boundaries,based on novel|carpet|isolation|imprisonment|grandparents,Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,117,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,2015-10-16,1520,8,2015,5519997.57120106,32569603.0293746
357681,tt4973112,0.198522,0,0,Hitting the Apex,Brad Pitt|Valentino Rossi|Jorge Lorenzo|Casey Stoner|Dani Pedrosa,http://hittingtheapexfilm.com/,Mark Neale,,fighter|motos,"'Hitting the Apex' is the inside story of six fighters â€“ six of the fastest motorcycle racers of all time â€“ and of the fates that awaited them at the peak of the sport. Itâ€™s the story of what is at stake for all of them: all that can be won, and all that can be lost, when you go chasing glory at over two hundred miles an hour â€“ on a motorcycle.",138,Documentary,First Movie Companie,2015-09-02,14,8,2015,0,0
355020,tt4908644,0.220751,0,0,Winter on Fire: Ukraine's Fight for Freedom,,http://www.netflix.com/title/80031666,Evgeny Afineevsky,The Next Generation Of Revolution,,"A documentary on the unrest in Ukraine during 2013 and 2014, as student demonstrations supporting European integration grew into a violent revolution calling for the resignation of President Viktor F. Yanukovich.",98,Documentary,Passion Pictures|Campbell Grobman Films|Afineevsky - Tolmor Production|Pray for Ukraine Production|Rock Paper Scissors,2015-10-09,37,8.2,2015,0,0
333350,tt3762974,0.122543,0,0,A Faster Horse,,,David Gelb,,mustang|car|corporation|henry ford family|car factory,"David Gelb (Jiro Dreams of Sushi) tackles another venerable, beloved, and long-standing institution: the Mustang, crown jewel of the Ford fleet. Only this institution is in turmoil. As the fiftieth anniversary of the Mustang approaches and the car industry struggles through the deepest trough of the financial crisis, Ford launches a redesign. Now the jobs of workers at Fordâ€™s Flat Rock Assembly Plant, the expectations of the thousands of Mustang devotees, and the livelihood of the city of Detroit are all placed squarely on the shoulders of Dave Pericak. As chief program engineer, he will guide the 2015 Mustang from assembly floor to showroomâ€”if only he can get that vibration out of the steering wheel.",90,Documentary,,2015-10-08,12,8,2015,0,0
224972,tt3983674,0.114264,0,0,The Mask You Live In,,http://themaskyoulivein.org,Jennifer Siebel Newsom,"Is american masculinity harming our boys, men and society at large?",feminism|sexism|young boy|gender roles|misogyny,"Compared to girls, research shows that boys in the U.S. are more likely to be diagnosed with a behavior disorder, prescribed stimulant medications, fail out of school, binge drink, commit a violent crime, and/or take their own lives.  Jennifer Siebel Newsom's new documentary film, The Mask You Live In, asks: As a society, how are we failing our boys?",88,Documentary,,2015-01-01,11,8.9,2015,0,0
367215,tt5083702,0.106091,0,0,The Fear of 13,Sammy Silverwatch,http://www.thefearof13.com/,David Sington,We are the stories we tell.,prison|prisoner|death row|reenactment|legal system,"After 23 years on Death Row a convicted murderer petitions the court asking to be executed, but as his story unfolds, it becomes clear that nothing is what it seems.",96,Thriller|Documentary,,2015-10-15,19,8.2,2015,0,0
371759,tt4701546,0.068741,0,0,Doctor Who: The Husbands of River Song,Peter Capaldi|Alex Kingston|Greg Davies|Matt Lucas|Phillip Rhys,http://www.bbc.co.uk/programmes/b06tl32t,Douglas Mackinnon,,,"Itâ€™s Christmas Day on a remote human colony and the Doctor is hiding from Christmas Carols and Comedy Antlers. But when a crashed spaceship calls upon the Doctor for help, he finds himself recruited into River Songâ€™s squad and hurled into a fast and frantic chase across the galaxy. King Hydroflax is furious, and his giant Robot bodyguard is out-of-control and coming for them all! Will Nardole survive? And when will River Song work out who the Doctor is? All will be revealed on a starliner full of galactic super-villains and a destination the Doctor has been avoiding for a very long time.",60,Drama|Science Fiction|Comedy,British Broadcasting Corporation (BBC),2015-12-25,31,8,2015,0,0
321640,tt4299972,0.033378,0,0,The Jinx: The Life and Deaths of Robert Durst,Robert Durst|Andrew Jarecki|Marc Smerling|Zachary Stuart-Pontier|Lynda Obst,,Andrew Jarecki,Four Decades. Three Murders. And One Very Rich Suspect.,murder|crime|real life,"Robert Durst, scion of one of New Yorkâ€™s billionaire real estate families, has been accused of three murders but never convicted. Brilliant, reclusive, and the subject of relentless media scrutiny, heâ€™s never spoken publiclyâ€”until now. During interviews with Andrew Jarecki, he reveals secrets of the case that baffled authorities for 30 years. In 2010, Jarecki made the narrative film All Good Things based on the infamous story of Robert Durst. After Durst saw the film, he contacted Jarecki wanting to tell his story. What began as a feature documentary ultimately became a six-part series as more and more of his incredible story was revealed.",240,Documentary,Blumhouse Productions|Hit the Ground Running Films,2015-02-08,72,8.4,2015,0,0
303867,tt4171032,0.032678,0,0,World of Tomorrow,Julia Pott|Winona Mae,http://bitterfilms.com,Don Hertzfeldt,,,A little girl is contacted by a mysterious woman.,17,Animation|Comedy|Science Fiction,Bitter Films,2015-03-31,47,8.2,2015,0,0
